DATE,SP500,US2
2004-12-21,1190.75,95.6882813
2004-12-22,1193.75,95.7195313
2004-12-23,1194.5,95.7429688
2004-12-27,1191.25,95.6648438
2004-12-28,1198.25,95.6648438
2004-12-29,1199.75,95.5710938
2004-12-30,1197.5,95.6335938
2004-12-31,1196.5,95.7039063
2005-01-03,1189.0,95.6570313
2005-01-04,1173.75,95.4695313
2005-01-05,1166.0,95.4539063
2005-01-06,1171.0,95.5164063
2005-01-07,1169.0,95.4539063
2005-01-10,1174.5,95.4304688
2005-01-11,1166.75,95.4304688
2005-01-12,1170.25,95.4539063
2005-01-13,1160.75,95.5085938
2005-01-14,1166.5,95.4070313
2005-01-17,1168.75,
2005-01-18,1178.5,95.3914063
2005-01-19,1166.25,95.4148438
2005-01-20,1159.25,95.5164063
2005-01-21,1151.25,95.6179688
2005-01-24,1149.0,95.5554688
2005-01-25,1152.5,95.5085938
2005-01-26,1156.0,95.4382813
2005-01-27,1157.5,95.4148438
2005-01-28,1157.5,95.5085938
2005-01-31,1164.5,95.4382813
2005-02-01,1172.0,95.4460938
2005-02-02,1176.0,95.3992188
2005-02-03,1172.25,95.3367188
2005-02-04,1184.75,95.4460938
2005-02-07,1183.5,95.3992188
2005-02-08,1185.0,95.3601563
2005-02-09,1175.75,95.5320313
2005-02-10,1179.25,95.4539063
2005-02-11,1189.75,95.3757813
2005-02-14,1189.0,95.3445313
2005-02-15,1193.5,95.3367188
2005-02-16,1193.25,95.2273438
2005-02-17,1183.75,95.2820313
2005-02-18,1185.0,95.2039063
2005-02-22,1167.5,95.2039063
2005-02-23,1175.5,95.1804688
2005-02-24,1183.5,95.1257813
2005-02-25,1194.75,95.0945313
2005-02-28,1186.75,94.9851563
2005-03-01,1192.75,95.0085938
2005-03-02,1192.25,95.0554688
2005-03-03,1192.75,95.0398438
2005-03-04,1207.0,95.0867188
2005-03-07,1208.0,95.0320313
2005-03-08,1203.25,94.9851563
2005-03-09,1189.75,94.8914063
2005-03-10,1192.5,94.8835938
2005-03-11,1183.75,94.7742188
2005-03-14,1190.25,94.7585938
2005-03-15,1181.0,94.7507813
2005-03-16,1170.25,94.8054688
2005-03-17,1172.25,94.8757813
2005-03-18,1169.0,94.8523438
2005-03-21,1164.5,94.8367188
2005-03-22,1152.5,94.6726563
2005-03-23,1152.75,94.5867188
2005-03-24,1153.75,94.5710938
2005-03-28,1155.75,94.5476563
2005-03-29,1148.25,94.5789063
2005-03-30,1163.75,94.5945313
2005-03-31,1162.25,94.7351563
2005-04-01,1156.0,94.8445313
